season,player_id,player,team,carries,receptions,touches,prior_ppr_points,prior_games,prior_ppr_ppg,next_season,next_team,next_touches,next_ppr_points,next_games,next_ppr_ppg,ppg_retention,absent_next_year,severe_decline_30pct,retained_or_improved
2022,00-0033280,Christian McCaffrey,CAR/SF,244.0,85.0,329.0,356.36,17,20.962,2023,SF,339.0,395.3,16,24.706,1.178609,0,0,1
2022,00-0034791,Nick Chubb,CLE,302.0,27.0,329.0,283.4,17,16.671,2023,CLE,32.0,23.1,2,11.55,0.69282,0,1,0
2022,00-0036893,Najee Harris,PIT,272.0,41.0,313.0,227.46,17,13.38,2023,PIT,284.0,197.5,17,11.618,0.868311,0,0,0
2022,00-0033699,Austin Ekeler,LAC,204.0,107.0,311.0,378.7,17,22.276,2023,LAC,230.0,193.4,14,13.814,0.620129,0,1,0
2022,00-0033893,Dalvin Cook,MIN,264.0,39.0,303.0,245.8,17,14.459,2023,NYJ,82.0,44.2,14,3.157,0.218342,0,1,0
2022,00-0033906,Alvin Kamara,NO,223.0,57.0,280.0,219.7,15,14.647,2023,NO,255.0,233.0,13,17.923,1.223664,0,0,1
2022,00-0035243,Miles Sanders,PHI,259.0,20.0,279.0,220.7,17,12.982,2023,CAR,156.0,91.6,16,5.725,0.440995,0,1,0
2022,00-0036875,Rhamondre Stevenson,NE,210.0,69.0,279.0,251.1,17,14.771,2023,NE,194.0,147.7,12,12.308,0.833254,0,0,0
2022,00-0033948,Jamaal Williams,DET,262.0,12.0,274.0,229.9,17,13.524,2023,NO,124.0,60.8,13,4.677,0.34583,0,1,0
2022,00-0033293,Aaron Jones,GB,213.0,59.0,272.0,254.6,17,14.976,2023,GB,172.0,136.9,11,12.445,0.830996,0,0,0
2022,00-0033897,Joe Mixon,CIN,210.0,60.0,270.0,239.5,14,17.107,2023,CIN,309.0,267.0,17,15.706,0.918104,0,0,0
2022,00-0033856,Leonard Fournette,TB,189.0,73.0,262.0,226.1,16,14.131,2023,BUF,12.0,4.0,2,2.0,0.141533,0,1,0
2022,00-0038134,Kenneth Walker,SEA,228.0,27.0,255.0,202.5,15,13.5,2023,SEA,248.0,199.4,15,13.293,0.984667,0,0,0
2022,00-0036973,Travis Etienne,JAX,220.0,35.0,255.0,211.1,17,12.418,2023,JAX,325.0,282.4,17,16.612,1.337736,0,0,1
2022,00-0037258,Dameon Pierce,HOU,220.0,30.0,250.0,170.4,13,13.108,2023,HOU,158.0,82.7,14,5.907,0.450641,0,1,0
2022,00-0033045,Ezekiel Elliott,DAL,231.0,17.0,248.0,185.8,15,12.387,2023,NE,235.0,176.5,17,10.382,0.838137,0,0,0
2022,00-0035685,David Montgomery,CHI,201.0,34.0,235.0,181.7,16,11.356,2023,DET,235.0,209.2,14,14.943,1.315868,0,0,1
2022,00-0035261,Tony Pollard,DAL,193.0,39.0,232.0,248.8,16,15.55,2023,DAL,307.0,224.6,17,13.212,0.849646,0,0,0
2022,00-0033553,James Conner,ARI,183.0,46.0,229.0,202.2,13,15.554,2023,ARI,235.0,201.5,13,15.5,0.996528,0,0,0
2022,00-0037263,Tyler Allgeier,ATL,210.0,16.0,226.0,159.4,16,9.963,2023,ATL,204.0,137.6,17,8.094,0.812406,0,0,0
2022,00-0036223,Jonathan Taylor,IND,192.0,28.0,220.0,152.4,11,13.855,2023,IND,188.0,156.4,10,15.64,1.128834,0,0,1
2022,00-0035250,Devin Singletary,BUF,177.0,38.0,215.0,183.9,16,11.494,2023,HOU,246.0,167.34,17,9.844,0.856447,0,0,0
2022,00-0036265,A.J. Dillon,GB,186.0,28.0,214.0,167.6,17,9.859,2023,GB,200.0,117.6,15,7.84,0.795212,0,0,0
2022,00-0037746,Brian Robinson,WAS,205.0,9.0,214.0,112.7,12,9.392,2023,WAS,214.0,202.1,15,13.473,1.434519,0,0,1
2022,00-0031687,Raheem Mostert,MIA,181.0,31.0,212.0,170.3,16,10.644,2023,MIA,234.0,269.7,15,17.98,1.689215,0,0,1
